BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,SEGMENT
993.22,0.98,8549.86,1834.15,229.02,4746.17,0.62,0.55,0.58,0.02,19,69,15873.96,12703.93,4059.06,0.68,10,High Spender
1234.29,0.06,4650.44,1735.75,4556.97,6841.78,0.23,0.39,0.9,0.83,23,95,8523.89,2108.64,4378.27,0.87,12,Cash Advance User
1532.08,0.49,6608.18,4796.15,3335.12,5465.28,0.63,0.57,0.62,0.88,15,98,15945.48,6461.71,1840.14,0.99,11,Cash Advance User
2775.67,0.77,241.41,921.97,6276.95,523.32,0.79,0.25,0.62,0.37,25,45,9505.33,14818.74,1815.99,0.54,9,Installment User
2939.96,0.15,2498.65,8946.26,5557.02,3565.39,0.4,0.31,0.75,0.7,4,58,18571.89,2891.57,4232.91,0.88,7,Moderate User
2132.5,0.61,4362.69,1001.49,6508.62,540.0,0.18,0.14,0.76,0.06,26,21,17796.69,7678.98,2426.2,0.48,12,Installment User
3077.1,0.24,6306.31,6165.57,6537.67,3830.75,0.08,0.78,0.91,0.89,29,71,16602.54,4824.45,2560.74,0.54,7,Moderate User
407.87,0.87,1715.21,3397.82,2548.72,1754.42,0.51,0.07,0.16,0.91,13,90,16071.6,9711.8,4455.22,0.57,8,Moderate User
438.94,0.33,7645.51,8042.73,2464.65,10.47,0.68,0.38,0.98,0.16,21,27,13500.54,1081.0,645.99,0.87,11,Moderate User
859.15,0.33,3644.05,5898.11,3702.82,6505.21,0.16,0.45,0.33,0.78,6,1,17545.74,12079.88,4424.58,0.24,11,Cash Advance User
2590.39,0.6,8174.35,3883.06,2419.58,7755.06,0.42,0.2,0.28,0.47,12,58,17178.41,9563.48,4633.3,0.75,7,High Spender
1069.97,0.18,979.69,9838.73,6828.08,7713.06,0.57,0.38,0.51,0.68,29,53,5045.04,13026.48,67.6,0.34,9,Cash Advance User
1416.42,0.28,6797.57,662.31,6028.66,2393.48,0.16,0.42,0.26,0.47,27,65,14240.86,11407.44,3411.14,0.1,6,Installment User
2001.56,0.42,2933.28,5777.86,2163.87,6630.19,0.27,0.22,0.23,0.08,24,62,16854.45,2051.39,1411.95,0.98,12,Cash Advance User
4059.33,0.35,7953.83,9895.68,8841.05,5430.22,0.61,0.64,0.97,0.84,17,26,15160.97,13029.15,2822.98,0.93,8,Cash Advance User
69.31,0.52,4021.7,6909.53,4606.63,6400.61,0.73,0.03,0.1,0.09,3,6,1323.75,5869.9,3244.84,0.51,7,Cash Advance User
3246.89,0.6,6653.5,7397.7,1270.53,6769.9,0.64,0.2,0.99,0.36,8,11,12732.62,7356.67,2918.03,0.15,8,One-off Purchaser
3344.38,0.57,9343.05,320.91,2129.66,7842.23,0.71,0.62,0.62,0.99,17,7,6413.59,907.19,3395.24,0.86,12,High Spender
3993.28,0.65,206.27,213.63,5398.51,1213.84,0.58,0.63,0.96,0.43,22,8,15702.34,3402.81,2789.65,0.4,10,Installment User
4663.76,0.31,111.17,361.1,3384.24,6157.97,0.84,0.27,0.9,0.82,11,85,15069.74,4362.39,3709.27,0.51,11,Cash Advance User
100.69,0.13,7702.79,9917.24,8512.22,5873.23,0.83,0.68,0.65,0.17,10,17,3067.1,12078.18,2684.41,0.99,8,Cash Advance User
768.92,0.76,6463.93,9795.2,4947.35,2301.89,0.8,0.47,0.59,0.83,0,91,7342.73,7125.66,1015.15,0.47,11,Moderate User
4430.86,0.85,2929.8,3345.09,9152.95,3140.7,0.58,0.53,0.99,0.46,0,37,18110.59,5459.4,995.35,0.15,9,Moderate User
2292.59,0.26,4943.97,2909.82,1018.26,1414.06,0.99,0.33,0.52,0.51,4,33,10181.13,14229.36,3252.4,0.66,11,Moderate User
2822.95,0.41,419.36,1459.59,6685.93,7306.19,0.04,0.98,0.18,0.97,26,69,10630.38,3557.84,2542.28,0.55,12,Installment User
3315.14,0.5,1924.46,3291.4,8857.85,7034.69,0.2,0.74,0.99,0.89,6,94,4873.22,7226.35,1791.98,0.18,9,Cash Advance User
3395.33,0.53,4244.96,3701.5,2929.3,4912.28,0.81,0.25,0.32,0.35,23,14,4379.04,3881.21,2836.84,0.19,10,Cash Advance User
4658.7,0.66,8340.44,7482.83,1356.88,4093.04,0.83,0.24,0.09,0.95,17,60,2271.95,3512.03,4935.12,0.92,7,High Spender
4984.75,0.04,4796.67,8662.94,4566.45,1863.11,0.82,0.77,0.72,0.1,14,67,2515.55,13293.49,3152.27,0.04,11,Moderate User
3600.79,0.72,5863.63,7467.35,9613.34,6316.83,0.87,0.39,0.45,0.03,28,4,4330.08,8442.5,3468.56,0.62,7,Cash Advance User
1436.11,0.06,8737.54,6464.75,6334.62,65.64,0.42,0.09,0.39,0.53,18,86,1266.27,1.18,3345.14,0.79,12,High Spender
4398.76,0.47,3088.19,7659.0,6439.77,3702.29,0.93,0.04,0.63,0.77,5,76,19895.69,2212.98,3475.75,0.37,7,Moderate User
246.1,0.83,7006.99,7384.97,6715.01,6884.41,0.21,0.41,0.05,0.22,3,60,9262.12,13206.57,976.46,0.14,10,Cash Advance User
1155.4,0.45,8616.67,4757.5,397.61,4947.88,0.94,0.41,0.7,0.08,29,26,8756.93,933.25,655.54,0.92,6,High Spender
4486.93,0.15,2026.16,3358.51,4456.5,5080.98,0.56,0.71,0.5,0.85,8,44,12146.12,13401.24,3900.57,0.26,10,Cash Advance User
1280.96,0.99,3564.78,2827.81,775.72,565.66,0.16,0.57,0.49,0.99,4,57,17249.6,3082.56,1202.71,0.18,12,Moderate User
1103.26,0.89,9798.1,6793.55,3158.59,2293.64,0.74,0.77,0.9,0.69,6,94,13603.27,14724.15,45.55,0.06,6,High Spender
690.63,0.77,9832.19,9593.04,8215.99,5390.9,0.3,0.32,0.83,0.98,8,18,5064.44,9351.48,1494.06,0.89,12,High Spender
4295.56,0.41,2232.3,5810.55,6562.7,396.94,0.22,0.62,0.53,0.83,18,29,15154.82,14714.16,2320.7,0.54,7,Moderate User
2500.29,0.18,664.46,9125.27,9955.73,2647.49,0.17,0.89,0.58,0.25,16,62,3660.05,7742.61,1343.16,0.39,9,Moderate User
3374.47,0.94,2709.22,142.29,1721.54,2831.56,0.03,0.07,0.81,0.11,28,93,17273.19,11748.84,467.31,0.77,8,Moderate User
1195.33,0.53,3977.32,7944.71,3970.54,3989.75,0.76,0.71,0.41,0.81,3,4,14926.39,4109.75,1255.08,0.53,9,Moderate User
3790.2,0.85,4410.06,8536.03,8096.4,2899.0,0.49,0.72,0.67,0.66,4,61,18802.11,2338.33,402.42,0.3,8,Moderate User
3800.03,0.34,6188.06,6309.94,2156.92,3632.94,0.98,0.79,0.54,0.81,17,74,17627.13,1572.59,2680.59,0.39,7,Moderate User
1562.99,0.34,8995.03,9340.61,1537.22,4375.98,0.44,0.27,0.5,0.72,8,73,8845.62,4979.42,3426.32,0.76,10,High Spender
2053.41,0.99,3303.48,5899.13,4276.13,1026.78,0.84,0.42,0.98,0.51,4,40,17990.18,5788.07,3565.01,0.27,11,Moderate User
1048.45,0.52,8499.85,2405.37,3837.26,1443.8,0.97,0.24,0.02,0.94,20,64,16386.31,4800.18,3949.19,0.54,8,High Spender
4882.81,0.14,934.79,2157.17,9802.06,6660.09,0.02,0.31,0.41,0.75,27,78,9497.83,14413.83,256.5,0.87,8,Cash Advance User
3228.01,0.22,418.75,5558.36,4562.52,3678.14,0.11,0.97,0.93,0.01,16,84,14203.3,2089.05,3719.45,0.88,11,Moderate User
4672.72,0.48,5040.45,9064.84,8609.46,2841.22,0.35,0.45,0.93,0.7,15,85,4164.42,3022.23,3730.39,0.89,6,Moderate User
1516.93,0.04,596.62,723.68,8879.66,3471.05,0.87,0.85,0.75,0.54,16,95,11152.23,3058.95,2538.42,0.76,9,Installment User
3909.45,0.46,3924.9,6043.91,1578.72,1398.55,0.84,0.79,0.59,0.14,14,25,2018.8,10980.78,3004.21,0.51,8,One-off Purchaser
3829.29,0.42,8967.78,7698.03,7153.05,1918.78,0.37,0.44,0.69,0.44,25,76,8807.09,10007.82,3383.35,0.5,11,High Spender
3458.28,0.78,2414.83,1154.02,2776.07,4124.19,0.2,0.99,0.25,0.52,26,68,12934.08,2657.24,2485.09,0.96,8,Cash Advance User
4828.19,0.35,7059.76,1167.7,947.39,2871.41,0.8,0.84,0.49,0.47,26,77,12922.24,388.29,4957.34,0.77,6,Moderate User
1967.78,0.98,3023.65,3661.28,8747.05,3803.65,0.6,0.48,0.54,0.43,0,53,8037.19,593.73,243.68,0.21,8,Moderate User
653.59,0.18,449.2,2738.81,2924.33,1197.64,0.03,0.31,0.06,0.63,12,54,2675.09,3648.77,567.68,0.33,7,Moderate User
3358.54,0.59,5566.91,1983.14,3453.66,1251.75,0.8,0.08,0.87,0.66,22,67,13178.63,11336.73,1376.74,0.33,7,Moderate User
3646.55,0.09,8348.53,1986.94,3239.89,3071.54,0.96,0.46,0.46,0.7,26,7,2609.69,13451.34,2863.05,0.77,7,High Spender
2875.3,0.73,4094.68,1306.69,2002.95,3030.86,0.04,0.36,0.9,0.76,2,8,5452.16,13542.4,4615.16,0.47,11,Moderate User
1034.09,0.99,6172.94,6108.54,4345.03,7066.66,0.29,0.71,0.39,0.83,4,94,16262.34,6484.27,4817.43,0.73,7,Cash Advance User
2522.28,0.82,9000.24,6881.26,4282.93,267.61,0.82,0.02,0.41,0.57,15,2,9296.36,12325.4,4808.43,0.04,11,High Spender
1560.95,0.56,7896.95,7029.36,4087.52,7942.84,0.58,0.83,0.24,0.07,17,26,19995.66,10776.1,4764.86,0.67,12,Cash Advance User
2137.33,0.48,1938.76,5323.54,9162.98,7652.18,0.99,0.42,0.64,0.36,29,8,15634.85,1081.35,4309.41,0.32,11,Cash Advance User
3226.09,0.84,7333.84,9529.06,3397.52,4338.01,0.92,0.47,0.55,0.0,1,92,8698.23,13820.74,2666.3,0.22,9,Cash Advance User
3726.07,0.94,5018.93,8805.33,303.79,5750.06,0.18,0.18,0.91,0.6,29,97,3086.61,8138.49,3367.72,0.66,6,One-off Purchaser
1161.12,0.99,7459.67,9576.31,1784.37,7482.04,0.67,0.94,0.43,0.98,0,28,9154.17,6941.39,116.0,0.1,11,One-off Purchaser
2026.63,0.4,4945.16,3887.95,7214.97,2009.55,0.65,0.4,0.65,0.83,26,73,3596.02,8797.61,142.49,0.66,10,Moderate User
1345.81,0.99,1279.58,8777.83,5908.59,2525.04,0.11,0.84,0.71,0.49,23,76,14108.74,2658.55,4359.35,0.99,8,Moderate User
993.16,0.16,5699.09,7628.75,9517.35,887.4,0.09,0.24,0.32,0.71,23,64,2995.45,2396.25,1834.15,0.92,10,Moderate User
3916.94,0.25,4921.34,3399.73,6944.35,4510.77,0.57,0.1,0.88,0.74,20,39,18922.9,6536.58,1874.45,0.76,6,Cash Advance User
4546.26,0.09,5179.22,1065.93,1942.42,1275.59,0.4,0.64,0.38,0.59,7,77,8405.36,8610.92,957.74,0.34,12,Moderate User
1851.16,0.27,8789.02,6826.21,1206.44,7446.96,0.55,0.98,0.64,0.89,17,95,1620.54,857.21,1300.16,0.3,7,High Spender
3756.39,0.77,8948.37,1364.52,5207.6,3452.53,0.24,0.65,0.62,0.32,4,79,16743.45,1277.55,3548.08,0.97,11,High Spender
4484.98,0.85,4535.37,2937.76,6652.63,7357.49,0.56,0.61,0.42,0.67,24,55,7676.64,14102.96,4311.85,0.1,9,Cash Advance User
4230.62,0.78,4557.32,5003.65,1656.37,1640.8,0.38,0.44,0.18,0.06,8,25,13728.99,5352.88,1881.42,0.21,8,One-off Purchaser
914.07,0.63,5151.87,6798.83,6016.93,5552.29,0.89,0.28,0.59,0.14,17,32,17403.23,1634.89,3318.72,0.83,10,Cash Advance User
4781.46,0.51,5195.89,9262.28,8650.29,5180.74,0.31,0.43,0.38,0.94,10,94,2117.66,2229.14,3659.81,0.5,10,Cash Advance User
1883.38,0.71,9503.87,5932.4,7275.69,3197.41,0.87,0.15,0.38,0.54,14,71,1298.74,5936.94,2580.3,0.9,9,High Spender
1696.2,0.39,6494.0,6714.13,6641.91,7186.75,0.39,0.26,0.49,0.75,12,24,3689.9,12712.22,1995.71,0.37,10,Cash Advance User
312.16,0.84,2774.57,3100.14,7893.31,3478.42,0.58,0.49,0.68,0.87,10,96,5475.48,5186.45,3012.33,0.31,12,Moderate User
2430.87,0.68,5315.37,6872.93,1040.83,1587.44,0.29,0.14,0.73,0.93,6,93,10958.31,11021.29,2817.73,0.59,12,One-off Purchaser
545.07,0.7,6272.24,4377.9,2038.31,7815.88,0.81,0.79,0.43,0.09,17,0,19258.23,4369.25,1601.72,0.69,9,Cash Advance User
1242.7,0.54,6397.72,8569.31,380.99,3531.85,0.84,0.01,0.12,0.7,24,0,11356.06,6685.41,1683.48,0.67,9,One-off Purchaser
1584.71,0.89,5852.54,3924.51,1449.78,1664.58,0.81,0.32,0.79,0.63,0,26,17326.75,3692.53,995.69,0.25,6,Moderate User
4044.13,0.25,1777.36,4682.72,9131.82,2909.06,0.64,0.52,0.67,0.6,13,67,4792.48,10999.61,2839.83,0.85,12,Moderate User
4377.44,0.38,335.93,4325.88,2221.45,4908.08,0.3,0.93,0.8,0.15,9,36,17968.68,11801.75,4688.54,0.46,11,Cash Advance User
1512.33,0.78,3378.43,8111.23,6620.97,4096.22,0.64,0.57,0.32,0.77,29,23,14577.54,6898.7,1702.63,0.08,8,Cash Advance User
4293.49,0.49,4275.22,9536.99,6915.67,5080.94,0.96,0.29,0.91,0.32,8,43,19047.61,10744.7,3358.26,0.55,11,Cash Advance User
4286.15,0.89,618.04,3272.76,6453.25,5294.86,0.65,0.35,0.26,0.22,19,87,17595.88,4808.43,4115.61,0.29,8,Cash Advance User
3823.25,0.35,8149.67,4750.28,5539.21,987.05,0.96,0.34,0.29,0.71,24,5,17154.93,6893.03,4824.76,0.59,11,High Spender
733.48,0.37,3440.77,7059.26,4861.3,2519.08,0.3,0.18,0.54,0.22,27,38,2389.34,13137.32,4022.74,0.19,12,Moderate User
3451.61,0.89,9136.33,8953.82,4199.21,5989.61,0.85,0.14,1.0,0.5,22,64,13803.46,699.31,478.82,0.83,9,High Spender
4725.12,0.46,1544.1,4937.01,9168.99,5202.94,0.72,0.48,0.2,0.32,15,92,6843.77,6853.49,365.97,0.17,8,Cash Advance User
3412.7,0.52,569.35,1088.94,95.14,706.79,0.82,0.27,0.84,0.82,27,87,5909.7,828.84,3578.89,0.42,9,Low Usage
1658.08,0.33,4823.16,3686.71,534.9,2521.18,0.71,0.09,0.0,0.95,19,76,9610.36,6484.8,3649.41,0.04,8,Moderate User
2502.9,0.28,1891.29,5503.62,4925.12,7450.58,0.48,0.22,0.24,0.82,29,91,17478.3,7817.06,4395.97,0.65,11,Cash Advance User
3228.63,0.66,9373.99,4175.25,3305.1,6896.1,0.69,0.52,0.35,0.4,22,14,2705.92,11335.08,3945.91,0.09,11,High Spender
2552.85,0.12,103.03,1865.56,4082.3,5365.14,0.93,0.26,0.65,0.16,26,63,18559.38,4589.15,2955.15,0.72,10,Cash Advance User
599.76,0.88,4126.2,369.89,9978.49,582.91,0.42,0.24,0.11,0.7,25,30,17302.4,11731.85,3504.61,0.67,11,Installment User
1560.32,0.78,9267.48,6874.09,7751.35,4856.44,0.95,0.62,0.13,0.9,25,85,6317.44,871.34,3064.68,0.42,9,High Spender
4011.98,0.19,3844.18,9927.37,8774.08,97.51,0.05,0.69,0.15,0.4,25,75,7447.81,3429.53,4511.2,0.49,11,Moderate User
4307.09,0.69,931.09,9192.07,3685.75,5289.01,0.01,0.24,0.66,0.04,21,16,1963.82,9072.43,2255.91,0.84,6,Cash Advance User
686.5,0.6,3028.95,6832.71,2395.6,5849.69,0.49,0.47,0.11,0.12,5,25,14862.75,113.81,905.14,0.26,6,Cash Advance User
4761.93,0.18,4980.1,8415.3,7679.9,3977.95,0.85,0.76,0.4,0.38,6,76,4263.96,9614.45,928.57,0.64,7,Moderate User
1644.11,0.27,1851.52,2557.28,8075.76,30.45,0.25,0.69,0.16,0.5,3,52,6611.98,10784.1,102.15,0.57,7,Moderate User
3311.57,0.41,4665.62,6224.34,5498.98,5332.88,0.69,0.07,0.38,0.29,3,40,8561.33,12632.77,4087.29,0.73,10,Cash Advance User
3759.13,0.7,8363.43,606.04,8959.42,6557.92,0.55,0.36,0.71,0.49,19,44,8725.28,11445.91,2918.85,0.4,12,High Spender
4059.73,0.64,8726.18,7071.84,9673.25,4686.94,0.29,0.72,0.28,0.96,24,80,16229.5,14012.77,2320.13,0.88,11,High Spender
4728.75,0.53,492.61,9698.72,4710.21,5673.58,0.29,0.18,0.62,0.08,23,25,10404.79,7956.93,3717.18,0.24,11,Cash Advance User
1564.6,0.77,1609.03,8607.97,2226.67,722.57,0.07,0.2,0.25,0.8,6,50,2057.3,11142.89,1580.28,0.8,7,Moderate User
4292.53,0.76,2752.9,5344.41,5171.13,5722.57,0.54,0.63,0.74,0.46,29,91,12410.27,12173.7,3646.14,0.6,9,Cash Advance User
658.43,0.62,5948.66,7887.4,9895.33,4913.54,0.45,0.28,0.78,0.65,4,37,6829.38,9517.65,4287.1,0.8,12,Cash Advance User
3525.2,0.79,3609.95,9438.99,2929.27,2648.16,0.29,0.32,0.31,0.97,4,49,7457.42,13955.77,3081.86,0.96,12,Moderate User
3709.89,0.33,8440.41,2160.18,6175.99,5482.67,0.97,0.52,0.02,0.46,8,41,4926.71,7097.44,4855.97,0.0,9,High Spender
3388.62,0.88,7166.72,7932.59,6939.84,5164.66,0.82,0.75,0.13,0.1,22,41,3122.77,3377.31,3671.59,0.03,10,Cash Advance User
1261.57,0.61,1004.56,2698.47,2139.29,4795.68,0.52,0.5,0.49,0.83,28,31,5867.53,3973.74,2192.91,0.0,9,Cash Advance User
4365.22,0.82,6245.58,8769.47,5884.59,1463.56,0.52,0.89,0.38,0.26,20,84,17660.03,5382.29,3124.8,0.31,10,Moderate User
844.29,0.55,1130.13,983.55,3145.07,2369.77,0.19,0.11,0.35,0.91,13,8,17563.16,11048.49,602.88,0.39,10,Moderate User
268.17,0.22,2550.36,1782.18,8542.1,7931.06,0.65,0.75,0.58,0.08,10,79,18956.17,8349.32,4562.6,0.37,12,Installment User
3587.32,0.54,1778.71,7206.16,7147.54,3464.87,0.95,0.54,0.16,0.23,4,4,1650.27,14019.9,3253.45,0.05,7,Moderate User
2377.38,0.37,1730.62,1747.78,8262.66,475.41,0.9,0.82,0.46,0.97,0,37,18109.69,13477.31,2052.58,0.9,12,Installment User
4245.49,0.7,6163.96,1580.54,1996.82,7192.04,0.08,0.32,0.2,0.88,7,8,7868.84,6862.11,4267.7,0.13,6,Cash Advance User
1916.99,0.48,5636.05,5554.67,345.75,1383.46,0.05,0.48,0.98,0.22,27,69,13322.88,5938.7,306.03,0.54,10,One-off Purchaser
841.39,0.84,1760.28,8349.87,8505.26,3228.16,0.96,0.82,0.05,0.78,2,78,12776.64,14556.84,2659.08,0.91,9,Moderate User
4182.21,0.68,9901.73,2684.67,3867.54,2223.99,0.2,0.83,0.02,0.09,12,81,4262.29,7219.87,3714.68,0.54,11,High Spender
2744.55,0.68,4218.37,8411.38,1797.22,7711.0,0.55,0.38,0.56,0.16,22,68,4269.93,14868.42,3520.81,0.37,12,One-off Purchaser
945.98,0.22,970.69,8079.53,918.95,3024.79,0.07,0.82,0.06,0.18,14,40,5054.32,3550.64,85.02,0.7,8,One-off Purchaser
3601.92,0.98,1205.69,5791.05,5165.01,5669.74,0.84,0.68,0.81,0.04,16,73,6106.89,13357.62,1130.38,1.0,8,Cash Advance User
2555.57,0.84,5838.94,6465.63,1501.28,4787.06,0.12,0.41,0.82,0.48,25,79,8019.19,4040.67,4301.98,0.6,12,One-off Purchaser
3021.56,0.79,9790.69,404.41,5666.92,343.8,0.64,0.97,0.43,0.39,1,26,9645.22,9645.3,1297.6,0.65,10,High Spender
2304.49,0.33,5719.51,3671.36,7273.07,3074.52,0.06,0.03,0.84,0.59,13,39,7823.17,14986.84,2395.45,0.18,7,Moderate User
4143.54,0.54,9490.41,2633.95,5350.58,3120.18,0.16,0.38,0.74,0.69,5,52,12196.52,8600.19,4939.33,0.26,9,High Spender
4147.81,0.14,4441.33,1500.04,9037.0,7918.67,0.51,0.31,0.14,0.6,26,22,3985.99,12421.81,2985.87,0.79,7,Installment User
3546.94,0.54,4358.41,3896.59,1555.7,6495.43,0.05,0.94,0.86,0.28,21,91,18714.65,3731.71,2785.49,0.75,8,Cash Advance User
527.01,0.15,5000.07,3549.04,4939.53,6853.23,0.2,0.1,0.87,0.08,5,74,16908.26,8465.89,2893.21,0.24,6,Cash Advance User
4194.27,0.55,6974.25,7288.92,1631.9,2508.17,0.14,0.63,0.32,0.73,22,3,1984.65,7000.11,897.68,0.51,11,One-off Purchaser
3355.06,0.65,3676.16,5980.96,8759.02,2632.44,0.04,0.72,0.77,0.31,17,67,9770.09,5612.11,3441.25,0.88,9,Moderate User
3485.12,0.39,8638.86,9131.0,9322.39,4124.85,0.97,0.18,0.9,0.25,8,79,16479.05,922.33,116.69,0.18,12,High Spender
1814.91,0.5,292.81,1454.08,3999.96,5048.12,0.45,0.15,0.75,0.69,29,27,7696.69,11142.03,1615.85,0.72,10,Cash Advance User
4396.4,0.88,4397.64,597.49,3057.48,5826.35,0.86,0.05,0.09,0.44,17,28,9045.17,14651.14,1541.3,0.35,7,Cash Advance User
3626.86,0.11,5109.92,5346.08,2793.16,6566.41,0.36,0.16,0.09,0.2,25,57,19919.36,9343.07,374.22,0.07,6,Cash Advance User
562.95,0.79,6070.32,10.27,8597.27,6985.62,0.04,0.81,0.98,0.77,28,16,15354.66,1149.65,1679.11,0.28,10,Installment User
2038.89,0.17,2760.72,7877.19,6824.42,197.01,0.7,0.94,0.54,0.81,16,69,6262.51,9983.96,3013.68,0.42,8,Moderate User
4431.9,0.04,4274.8,5059.73,8805.93,6368.77,0.04,0.9,0.64,0.99,24,17,11739.65,14976.13,1884.91,0.74,9,Cash Advance User
235.98,0.19,4845.38,4880.66,1175.17,4886.7,0.55,0.37,0.91,0.47,24,12,16251.41,11264.06,103.74,0.13,11,Cash Advance User
4807.08,0.77,6869.1,3624.96,4760.28,4256.68,0.14,0.73,0.01,0.04,6,63,6325.3,6349.77,3129.21,0.86,8,Cash Advance User
3395.81,0.41,7735.44,3749.74,6761.79,5027.73,0.67,0.83,0.43,0.52,21,59,2446.67,14679.07,1527.73,0.32,10,Cash Advance User
3156.88,0.87,7378.27,4311.34,8970.91,7055.51,0.89,0.81,0.57,0.02,13,60,7266.75,13663.22,4992.3,0.15,7,Cash Advance User
1352.8,0.52,3415.83,160.32,3820.19,4362.33,0.96,0.06,0.0,0.95,11,34,17768.81,11654.32,4498.29,0.37,12,Cash Advance User
1243.96,0.02,9994.51,835.46,3130.9,1297.5,0.53,0.21,0.62,0.17,16,88,9889.56,13966.3,2437.79,0.93,11,High Spender
4710.29,0.72,8486.65,5050.48,9129.66,3494.22,0.53,0.94,0.85,0.93,12,54,12347.98,11591.51,1841.16,0.56,12,High Spender
1491.36,0.11,2600.23,1501.22,475.33,7395.68,0.04,0.74,0.05,0.95,9,34,1784.91,14654.79,347.94,0.35,11,Cash Advance User
3877.53,0.79,1951.06,7787.63,4795.95,6515.87,0.77,0.83,0.8,0.78,25,41,5549.93,11375.23,7.38,0.43,9,Cash Advance User
1965.61,0.17,3140.21,2744.85,4586.27,1624.36,0.96,0.51,0.98,0.09,25,10,15910.52,2224.53,3993.28,0.74,6,Moderate User
696.27,0.35,4523.45,979.0,1460.56,5713.15,0.44,0.39,0.92,0.56,16,75,14515.27,1489.74,2461.84,0.04,7,Cash Advance User
53.58,0.76,8507.99,2352.1,3949.5,2049.81,0.79,0.65,0.54,0.35,0,53,3106.55,3693.2,1592.57,0.95,9,High Spender
2721.29,0.95,7783.62,3570.98,7226.0,2788.3,0.8,0.47,0.86,0.82,22,37,16588.61,2062.09,2848.98,0.83,9,Moderate User
4878.89,0.37,8512.46,353.17,3668.68,3751.34,0.79,0.37,0.77,0.3,15,31,11104.74,8467.96,1529.03,0.89,8,High Spender
1845.68,0.83,2719.57,1416.76,3096.6,3526.96,0.76,0.35,0.82,0.45,22,77,5748.5,9911.11,1916.76,0.67,7,Moderate User
1785.96,0.19,5934.61,3238.47,7818.95,234.24,0.22,0.16,0.4,0.57,26,24,3954.65,1874.89,365.65,0.59,6,Moderate User
1720.46,0.81,2832.49,3104.8,9887.15,6192.07,0.75,0.53,0.48,0.04,14,96,4257.57,105.44,2210.05,0.34,12,Cash Advance User
2602.72,0.66,1090.23,8003.87,7793.52,6771.09,0.14,0.52,0.24,0.61,13,97,8941.93,10457.27,711.15,0.3,11,Cash Advance User
2203.32,0.19,6841.98,8432.55,8463.43,4247.55,0.71,0.59,0.05,0.34,10,58,17645.76,752.17,2152.85,0.09,11,Cash Advance User
4399.57,0.3,1429.98,1934.19,9395.01,1383.61,0.0,0.12,0.6,0.53,2,99,7987.67,10819.66,3876.3,0.03,7,Installment User
2527.6,0.13,6676.98,1239.4,8017.72,1983.5,0.92,0.91,0.31,0.12,27,69,13370.53,1057.73,1178.06,0.05,7,Installment User
2538.79,0.38,6479.64,6341.62,9803.54,1010.67,0.83,0.74,0.5,0.34,26,56,3712.34,14450.73,1146.93,0.18,10,Moderate User
691.86,0.2,8102.48,8046.24,7472.84,1356.05,0.68,0.13,0.96,0.58,12,40,2213.81,3743.44,3554.89,0.16,8,High Spender
4913.7,0.64,1395.55,9637.23,6615.23,7011.18,0.09,0.08,0.06,0.57,8,3,8811.65,1012.66,2685.32,0.79,11,Cash Advance User
1249.86,0.99,7834.8,67.96,6933.49,3841.3,0.82,0.64,0.87,0.16,7,6,4124.59,9330.32,2101.43,0.11,10,Installment User
366.82,0.01,9992.77,4136.78,9000.82,888.11,0.88,0.34,0.09,0.41,21,98,4698.96,10839.75,244.65,0.77,11,High Spender
3315.73,0.54,8510.42,7339.88,6830.08,2037.96,0.69,0.32,0.65,0.52,27,18,6123.1,13862.22,2351.28,0.44,9,High Spender
2976.83,0.57,7518.12,8285.59,7612.05,7596.01,0.98,0.84,0.34,0.08,4,30,2168.59,12386.28,2042.3,0.96,12,Cash Advance User
2075.73,0.91,6621.65,622.86,2160.1,4074.13,0.09,0.35,0.1,0.6,1,19,16216.37,4223.8,810.75,0.6,6,Cash Advance User
2110.96,0.51,4217.81,6806.15,9126.5,4125.07,0.71,0.63,0.76,0.23,6,20,11299.11,3001.38,4652.68,0.56,12,Cash Advance User
3925.32,0.54,7305.0,2889.39,4472.13,4205.16,0.52,0.54,0.7,0.92,10,24,8735.3,4582.55,2033.37,0.64,7,Cash Advance User
978.56,0.47,7241.78,745.97,1610.67,892.93,0.15,0.26,0.64,0.27,10,11,7294.8,3622.64,4.15,0.49,10,Moderate User
4101.27,0.27,6314.98,4891.03,7997.87,7762.51,0.66,0.33,0.96,0.79,23,97,1018.5,10800.45,4842.62,0.57,8,Cash Advance User
3243.74,0.06,7962.78,1581.53,3563.93,675.89,0.8,0.94,0.02,0.58,16,16,17517.78,10480.38,2331.23,0.71,8,Moderate User
2094.85,0.41,4487.64,7370.08,1841.19,5600.31,0.16,0.33,0.43,0.69,20,95,15475.62,8399.18,3113.45,0.84,10,One-off Purchaser
2290.14,0.05,1212.53,7412.62,2562.51,462.12,0.79,0.78,0.56,0.9,4,0,14890.18,1050.28,1924.92,0.92,11,Moderate User
